"Nodes";"DateTime"
2788;2014-04-03
2786;2014-04-03
2776;2014-04-03
2776;2014-04-03
2760;2014-04-03
2775;2014-04-03
2766;2014-04-03
2771;2014-04-03
2772;2014-04-03
2778;2014-04-03
2787;2014-04-03
2788;2014-04-03
2794;2014-04-03
2794;2014-04-03
2802;2014-04-03
2536;2014-04-03
2798;2014-04-03
2801;2014-04-03
2793;2014-04-03
2780;2014-04-03
2799;2014-04-03
2809;2014-04-03
2818;2014-04-03
2814;2014-04-03
2818;2014-04-04
2815;2014-04-04
2819;2014-04-04
2804;2014-04-04
2794;2014-04-04
2795;2014-04-04
2796;2014-04-04
2786;2014-04-04
2797;2014-04-04
2799;2014-04-04
2803;2014-04-04
2812;2014-04-04
2810;2014-04-04
2817;2014-04-04
2817;2014-04-04
2819;2014-04-04
2818;2014-04-04
2819;2014-04-04
2562;2014-04-04
2825;2014-04-04
2820;2014-04-04
2825;2014-04-04
2826;2014-04-04
2817;2014-04-04
2832;2014-04-05
2817;2014-04-05
2826;2014-04-05
2812;2014-04-05
2794;2014-04-05
2809;2014-04-05
2794;2014-04-05
2786;2014-04-05
2793;2014-04-05
2802;2014-04-05
2808;2014-04-05
2807;2014-04-05
2812;2014-04-05
2822;2014-04-05
2823;2014-04-05
2829;2014-04-05
2827;2014-04-05
2826;2014-04-05
2821;2014-04-05
2829;2014-04-05
2424;2014-04-05
2834;2014-04-05
2832;2014-04-05
2838;2014-04-05
2832;2014-04-06
2825;2014-04-06
2822;2014-04-06
2815;2014-04-06
2804;2014-04-06
2804;2014-04-06
2796;2014-04-06
2798;2014-04-06
2798;2014-04-06
2806;2014-04-06
2809;2014-04-06
2817;2014-04-06
2817;2014-04-06
2811;2014-04-06
2819;2014-04-06
2790;2014-04-06
2803;2014-04-06
2820;2014-04-06
2852;2014-04-06
2840;2014-04-06
2848;2014-04-06
2849;2014-04-06
2805;2014-04-06
2853;2014-04-06
2845;2014-04-07
2845;2014-04-07
2845;2014-04-07
2828;2014-04-07
2828;2014-04-07
2830;2014-04-07
2828;2014-04-07
2827;2014-04-07
2832;2014-04-07
2832;2014-04-07
2837;2014-04-07
2838;2014-04-07
2845;2014-04-07
2851;2014-04-07
2850;2014-04-07
2843;2014-04-07
2849;2014-04-07
2846;2014-04-07
2858;2014-04-07
2860;2014-04-07
2857;2014-04-07
2862;2014-04-07
2855;2014-04-07
2853;2014-04-07
2840;2014-04-08
2836;2014-04-08
2827;2014-04-08
2827;2014-04-08
2816;2014-04-08
2809;2014-04-08
2813;2014-04-08
2814;2014-04-08
2824;2014-04-08
2820;2014-04-08
2839;2014-04-08
2835;2014-04-08
2837;2014-04-08
2828;2014-04-08
2828;2014-04-08
2843;2014-04-08
2847;2014-04-08
2845;2014-04-08
2854;2014-04-08
2854;2014-04-08
2854;2014-04-08
2864;2014-04-08
2846;2014-04-08
2851;2014-04-08
2852;2014-04-09
2849;2014-04-09
2846;2014-04-09
2808;2014-04-09
2805;2014-04-09
2784;2014-04-09
2810;2014-04-09
2804;2014-04-09
2801;2014-04-09
2824;2014-04-09
2816;2014-04-09
2823;2014-04-09
2781;2014-04-09
2794;2014-04-09
2842;2014-04-09
2834;2014-04-09
2829;2014-04-09
2842;2014-04-09
2840;2014-04-09
2844;2014-04-09
2848;2014-04-09
2853;2014-04-09
2845;2014-04-09
2845;2014-04-09
2839;2014-04-10
2826;2014-04-10
